Iteration, eigenvalue, x_factor, lambda_factor, norm_x_change, gradient_lambda
     1, 14.4495457, 14.4495226, 0.0000232, 0.0002114, 0.1384429
   101, 13.3314875, 13.3313947, 0.0000929, 0.0002723, 0.1403220
   201, 12.2778298, 12.2777189, 0.0001109, 0.0002631, 0.1421017
   301, 11.2839669, 11.2838237, 0.0001432, 0.0002569, 0.1437833
   401, 10.3450411, 10.3448426, 0.0001985, 0.0002520, 0.1453737
   501, 9.4585543, 9.4582624, 0.0002919, 0.0002476, 0.1468778
   601, 8.6230997, 8.6226510, 0.0004487, 0.0002435, 0.1482993
   701, 7.8377613, 7.8370515, 0.0007098, 0.0002394, 0.1496411
   801, 7.1017869, 7.1006501, 0.0011368, 0.0002352, 0.1509035
   901, 6.4144096, 6.4126026, 0.0018070, 0.0002308, 0.1520861
  1001, 5.7747369, 5.7719589, 0.0027780, 0.0002263, 0.1531875
  1101, 5.1816653, 5.1776355, 0.0040298, 0.0002216, 0.1542061
  1201, 4.6338770, 4.6284059, 0.0054712, 0.0002168, 0.1551413
  1301, 4.1299161, 4.1229039, 0.0070121, 0.0002117, 0.1559926
  1401, 3.6682353, 3.6596350, 0.0086003, 0.0002066, 0.1567601
  1501, 3.2471926, 3.2369814, 0.0102113, 0.0002012, 0.1574446
  1601, 2.8650452, 2.8532110, 0.0118342, 0.0001957, 0.1580475
  1701, 2.5199589, 2.5064955, 0.0134634, 0.0001900, 0.1585695
  1801, 2.2100182, 2.1949230, 0.0150953, 0.0001842, 0.1590107
  1901, 1.9332326, 1.9165057, 0.0167269, 0.0001782, 0.1593696
  2001, 1.6875463, 1.6691911, 0.0183552, 0.0001720, 0.1596429
  2101, 1.4708526, 1.4508757, 0.0199769, 0.0001658, 0.1598264
  2201, 1.2810055, 1.2594169, 0.0215886, 0.0001594, 0.1599143
  2301, 1.1158247, 1.0926386, 0.0231861, 0.0001529, 0.1598982
  2401, 0.9731035, 0.9483392, 0.0247643, 0.0001464, 0.1597659
  2501, 0.8506225, 0.8243064, 0.0263161, 0.0001399, 0.1594967
  2601, 0.7461650, 0.7183333, 0.0278317, 0.0001335, 0.1590592
  2701, 0.6575289, 0.6282308, 0.0292981, 0.0001274, 0.1584118
  2801, 0.5825301, 0.5518310, 0.0306991, 0.0001217, 0.1575055
  2901, 0.5189914, 0.4869767, 0.0320147, 0.0001171, 0.1562830
  3001, 0.4647308, 0.4315098, 0.0332210, 0.0001143, 0.1546793
  3101, 0.4175823, 0.3832904, 0.0342919, 0.0001146, 0.1526314
  3201, 0.3755296, 0.3403254, 0.0352043, 0.0001191, 0.1500981
  3301, 0.3370436, 0.3010963, 0.0359473, 0.0001267, 0.1470949
  3401, 0.3014197, 0.2648891, 0.0365306, 0.0001342, 0.1437123
  3501, 0.2685532, 0.2315816, 0.0369716, 0.0001406, 0.1400564
  3601, 0.2384233, 0.2011418, 0.0372815, 0.0001470, 0.1361948
  3701, 0.2109202, 0.1734528, 0.0374675, 0.0001538, 0.1321715
  3801, 0.1858808, 0.1483428, 0.0375379, 0.0001609, 0.1280301
  3901, 0.1631267, 0.1256242, 0.0375025, 0.0001683, 0.1238120
  4001, 0.1424820, 0.1051121, 0.0373700, 0.0001758, 0.1195510
  4101, 0.1237784, 0.0866313, 0.0371472, 0.0001834, 0.1152714
  4201, 0.1068573, 0.0700172, 0.0368401, 0.0001912, 0.1109920
  4301, 0.0915703, 0.0551170, 0.0364533, 0.0001988, 0.1067255
  4401, 0.0777791, 0.0417877, 0.0359914, 0.0002062, 0.1024832
  4501, 0.0653555, 0.0298960, 0.0354594, 0.0002131, 0.0982770
  4601, 0.0541806, 0.0193183, 0.0348623, 0.0002195, 0.0941165
  4701, 0.0441445, 0.0099406, 0.0342039, 0.0002252, 0.0900083
  4801, 0.0351451, 0.0016580, 0.0334871, 0.0002299, 0.0859555
  4901, 0.0270880, -0.0056261, 0.0327141, 0.0002335, 0.0819593
  5001, 0.0198857, -0.0120009, 0.0318865, 0.0002359, 0.0780197
